symbol	alias
ARHGAP44	KIAA0672
ARHGAP44	RICH-2
ARHGAP44	RICH2
ARHGAP45	KIAA0223
ARHGAP45	HA-1
ARHGAP45	HMHA1
ARHGDIA	RHOGDI
ARHGDIA	GDIA1
ARHGDIB	Ly-GDI
ARHGDIB	RhoGDI2
ARHGDIB	RAP1GN1
ARHGDIB	GDIA2
ARHGDIB	GDID4
ARHGDIG	RHOGDI-3
ARHGEF1	P115-RHOGEF
ARHGEF1	SUB1.5
ARHGEF1	LBCL2
ARHGEF2	LFP40
ARHGEF2	GEF-H1
ARHGEF2	KIAA0651
ARHGEF2	P40
ARHGEF2	Lfc
ARHGEF2	GEFH1
ARHGEF3	STA3
ARHGEF3	XPLN
ARHGEF3	GEF3
ARHGEF3	DKFZP434F2429
ARHGEF4	STM6
ARHGEF4	KIAA1112
ARHGEF4	ASEF
ARHGEF4	ASEF1
ARHGEF5	TIM
ARHGEF5	TIM1
ARHGEF5	GEF5
ARHGEF5	P60
ARHGEF6	alphaPIX
ARHGEF6	Cool-2
ARHGEF6	KIAA0006
ARHGEF6	alpha-PIX
ARHGEF6	Cool2
ARHGEF6	αPix
ARHGEF6	MRX46
ARHGEF7	KIAA0142
ARHGEF7	PIXB
ARHGEF7	DKFZp761K1021
ARHGEF7	Nbla10314
ARHGEF7	DKFZp686C12170
ARHGEF7	BETA-PIX
ARHGEF7	COOL1
ARHGEF7	P85SPR
ARHGEF7	P85
ARHGEF7	P85COOL1
ARHGEF7	P50BP
ARHGEF7	PAK3
ARHGEF7	P50
ARHGEF9	KIAA0424
ARHGEF9	PEM-2
ARHGEF10	KIAA0294
ARHGEF10	Gef10
ARHGEF10L	FLJ10521
ARHGEF10L	KIAA1626
ARHGEF11	KIAA0380
ARHGEF11	GTRAP48
ARHGEF11	PDZ-RHOGEF
ARHGEF12	KIAA0382
ARHGEF12	LARG
ARHGEF15	KIAA0915
ARHGEF15	Vsm-RhoGEF
ARHGEF15	ARGEF15
ARHGEF15	FLJ13791
ARHGEF15	MGC44868
ARHGEF16	NBR
ARHGEF16	GEF16
ARHGEF17	TEM4
ARHGEF17	KIAA0337
ARHGEF17	p164-RhoGEF
ARHGEF18	P114-RhoGEF
ARHGEF18	KIAA0521
ARHGEF18	MGC15913
ARHGEF18	p114RhoGEF
ARHGEF19	FLJ33962
ARHGEF19	WGEF
ARHGEF25	GEFT
ARHGEF25	p63RhoGEF
ARHGEF26	DKFZP434D146
ARHGEF26	SGEF
ARHGEF28	RGNEF
ARHGEF28	p190RhoGEF
ARHGEF28	RIP2
ARHGEF35	FLJ43692
ARHGEF35	CTAGE4
ARHGEF35	ARHGEF5L
ARHGEF37	FLJ41603
ARHGEF38	FLJ20184
ARHGEF39	FLJ14642
ARHGEF39	C9orf100
ARHGEF40	solo
ARHGEF40	FLJ10357
ARID1A	B120
ARID1A	P270
ARID1A	C10rf4
ARID1A	BAF250
ARID1A	BAF250a
ARID1A	C1orf4
ARID1A	SMARCF1
ARID1B	KIAA1235
ARID1B	ELD/OSA1
ARID1B	p250R
ARID1B	BAF250b
ARID1B	DAN15
ARID1B	6A3-5
ARID1B	SMARCF2
ARID2	KIAA1557
ARID2	DKFZp686G052
ARID2	FLJ30619
ARID2	BAF200
ARID2	SMARCF3
ARID2	ZIPZAP
ARID2	p200
ARID3A	BRIGHT
ARID3A	DRIL1
ARID3B	BDP
ARID3B	DRIL2
ARID4A	RBP1
ARID4A	RBP-1
ARID4A	RBBP1
ARID4B	BCAA
ARID4B	BRCAA1
ARID4B	SAP180
ARID4B	RBP1L1
ARID5A	MRF-1
ARID5A	RP11-363D14
ARID5B	FLJ21150
ARID5B	MRF2
ARIH1	HARI
ARIH1	HHARI
ARIH1	UBCH7BP
ARIH1	ARI
ARIH2	TRIAD1
ARK2C	ARKL2
ARK2C	RNF111L2
ARK2C	Ark2C
ARK2C	lncAMPC
ARK2C	RNF165
ARK2N	MGC12909
ARK2N	ARKL1
ARK2N	RNF111L1
ARK2N	Ark2N
ARK2N	C18orf25
ARL1	ARFL1
ARL2	ARFL2
ARL2BP	BART1
ARL2BP	BART
ARL2BP	RP66
ARL3	ARFL3
ARL4A	ARL4
ARL4C	LAK
ARL4C	ARL7
ARL4D	ARF4L
ARL5A	ARL5
ARL5B	ARL8
ARL5C	ARL12
ARL6	RP55
ARL6	BBS3
ARL6IP1	AIP1
ARL6IP1	ARMER
ARL6IP1	KIAA0069
ARL6IP1	SPG61
ARL6IP1	ARL6IP
ARL6IP4	SR-25
ARL6IP4	SRp25
ARL6IP4	SFRS20
ARL6IP4	SRrp37
ARL6IP5	PRAF3
ARL6IP5	JWA
ARL6IP5	GTRAP3-18
ARL6IP5	DERP11
ARL6IP5	HSPC127
ARL6IP5	Yip6b
ARL6IP6	MGC33864
ARL8A	FLJ45195
ARL8A	Gie2
ARL8A	ARL10B
ARL8B	FLJ10702
ARL8B	Gie1
ARL8B	ARL10C
ARL10	ARL10A
ARL11	ARLTS1
ARL11	FLJ33930
ARL13A	ARL13
ARL13B	DKFZp761H079
ARL13B	JBTS8
ARL13B	ARL2L1
ARL14	FLJ22595
ARL14	ARF7
ARL14EP	FLJ38968
ARL14EP	ARF7EP
ARL14EP	C11orf46
ARL15	FLJ20051
ARL15	ARFRP2
ARL17A	ARF1P2
ARL17A	ARL17P1
ARL17B	ARL17
ARLN	HCVFTP1
ARLN	ALN
ARLN	C4orf3
ARMC1	FLJ10511
ARMC1	Arcp
ARMC2	DKFZp434P0714
ARMC2	bA787I22.1
ARMC3	FLJ32827
ARMC3	CT81
ARMC3	VAC8
ARMC5	FLJ13063
ARMC6	MGC19595
ARMC7	FLJ22160
ARMC8	HSPC056
ARMC8	DKFZP434A043
ARMC8	GID5
ARMC8	VID28
ARMC9	FLJ12584
ARMC9	KIAA1868
ARMC9	ARM
ARMC9	KU-MEL-1
ARMC10	MGC3195
ARMC10	SVH
ARMC12	FLJ25390
ARMC12	C6orf81
ARMCX1	ALEX1
ARMCX1	GASP7
ARMCX2	ALEX2
ARMCX2	KIAA0512
ARMCX2	GASP9
ARMCX3	ALEX3
ARMCX3	GASP6
ARMCX4	MGC40053
ARMCX4	GASP4
ARMCX4	CXorf35
ARMCX5	FLJ12969
ARMCX5	GASP5
ARMCX6	FLJ20811
ARMCX6	GASP10
ARMH1	MGC33556
ARMH1	p40
ARMH1	NCRNA00082
ARMH1	C1orf228
ARMH2	C6orf229
ARMH3	FLJ13114
ARMH3	DGARM
ARMH3	C10orf76
ARMH4	UT2
ARMH4	C14orf37
ARMS2	LOC387715
ARMS2	ARMD8
ARNT	HIF-1beta
ARNT	bHLHe2
ARNT	ARNT1
ARNT2	KIAA0307
ARNT2	bHLHe1
ARPC1A	SOP2Hs
ARPC1A	SOP2L
ARPC1A	Arc40
ARPC1B	ARC41
ARPC1B	p40-ARC
ARPC1B	p41-ARC
ARPC2	p34-Arc
ARPC2	ARC34
ARPC3	p21-Arc
ARPC3	ARC21
ARPC4	p20-Arc
ARPC4	ARC20
ARPC5	p16-Arc
ARPC5	ARC16
ARPC5	dJ127C7.3
ARPC5L	MGC3038
ARPC5L	ARC16-2
ARPIN	MGC61550
ARPIN	C15orf38
ARPP19	ARPP-19
ARPP19	ARPP-16
ARPP19	ARPP16
ARPP19	ENSAL
ARPP21	ARPP-21
ARPP21	TARPP
ARPP21	R3HDM3
ARR3	ARRX
ARRB1	ARR1
ARRB2	BARR2
ARRB2	DKFZp686L0365
ARRB2	ARR2
ARRDC1	MGC40555
ARRDC2	CLONE24945
ARRDC2	PP2703
ARRDC3	KIAA1376
ARRDC3	TLIMP
ARRDC4	FLJ36045
ARSA	ASA
ARSB	ASB
ARSD	ASD
ARSF	ASF
ARSG	KIAA1001
ARSI	FLJ16069
ARSI	SPG66
ARSJ	FLJ23548
ARSK	DKFZp313G1735
ARSK	TSULF
ARSL	CDPX
ARSL	CDPX1
ARSL	ARSE
ART1	ART2
ART1	CD296
ART1	ARTC1
ART3	ARTC3
ART4	DOK1
ART4	CD297
ART4	ARTC4
ART4	DO
ART5	ARTC5
ARTN	NBN
ARTN	EVN
ARTN	ENOVIN
ARX	ISSX
ARX	CT121
ARX	EIEE1
ARX	MRXS1
ARX	PRTS
ARX	MRX76
ARX	MRX54
ARX	MRX43
ARX	MRX36
ARX	MRX29
ARX	MRX32
ARX	MRX33
ARX	MRX38
ARX	MRX87
AS3MT	CYT19
ASAH1	AC
ASAH1	PHP32
ASAH1	FLJ21558
ASAH1	ACDase
ASAH1	ASAH
ASAH2B	bA449O16.3
ASAH2B	ASAH2L
ASAH2B	bA98I6.3
ASAH2B	ASAH2C
ASAP1	PAP
ASAP1	KIAA1249
ASAP1	ZG14P
ASAP1	CENTB4
ASAP1	DDEF1
ASAP2	KIAA0400
ASAP2	PAP
ASAP2	SHAG1
ASAP2	CENTB3
ASAP2	DDEF2
ASAP3	FLJ20199
ASAP3	UPLC1
ASAP3	CENTB6
ASAP3	DDEFL1
ASB1	ASB-1
ASB2	ASB-2
ASB3	ASB-3
ASB4	ASB-4
ASB8	MGC5540
ASB8	FLJ21255
ASB9	DKFZP564L0862
ASB9	MGC4954
ASB9	FLJ20636
ASB10	GLC1F
ASB11	DKFZp779E2460
ASB12	FLJ39577
ASB13	FLJ13134
ASB13	MGC19879
ASB14	DKFZp313L0121
ASB15	FLJ43370
ASB16	FLJ30165
ASCC1	CGI-18
ASCC1	ASC1p50
ASCC1	Em:AC022392.3
ASCC1	p50
ASCC2	ASC1p100
ASCC2	FLJ21588
ASCC2	DKFZp586O0223
ASCC3	RNAH
ASCC3	ASC1p200
ASCC3	dJ121G13.4
ASCC3	dJ467N11.1
ASCC3	HELIC1
ASCL1	ASH1
ASCL1	HASH1
ASCL1	bHLHa46
ASCL2	ASH2
ASCL2	HASH2
ASCL2	bHLHa45
ASCL3	bHLHa42
ASCL3	HASH3
ASCL3	Sgn1
ASCL4	HASH4
ASCL4	bHLHa44
ASCL5	bHLHa47
ASCL5	ASH-5
ASCL5	AmeloD
ASDURF	ASNSD1-SEP
ASF1A	DKFZP547E2110
ASF1A	CIA
ASF1B	FLJ10604
ASGR1	CLEC4H1
ASGR2	CLEC4H2
ASH1L	huASH1
ASH1L	ASH1
ASH1L	ASH1L1
ASH1L	KMT2H
ASH2L	ASH2L2
ASH2L	ASH2
ASH2L	Bre2
ASH2L	ASH2L1
ASIC1	BNaC2
ASIC1	hBNaC2
ASIC1	ACCN2
ASIC2	ASIC2a
ASIC2	BNC1
ASIC2	BNaC1
ASIC2	hBNaC1
ASIC2	MDEG
ASIC2	ACCN
ASIC2	ACCN1
ASIC3	TNaC1
ASIC3	DRASIC
ASIC3	ACCN3
ASIC4	BNAC4
ASIC4	ACCN4
ASIC5	INAC
ASIC5	HINAC
ASIC5	ACCN5
ASIP	ASP
ASIP	AGTIL
ASL	ASAL
ASMT	HIOMT
ASMT	ASMTY
ASMT	HIOMTY
ASNSD1	NS3TP1
ASNSD1	FLJ20752
ASNSD1	NBLA00058
ASPA	ASP
ASPA	ACY2
ASPG	LysoLP
ASPG	hASNase1
ASPG	C14orf76
ASPH	CASQ2BP1
ASPH	BAH
ASPH	JCTN
ASPH	HAAH
ASPHD2	FLJ39838
ASPM	Calmbp1
ASPM	ASP
ASPM	FLJ10517
ASPM	FLJ10549
ASPM	MCPH5
ASPN	FLJ20129
ASPN	SLRR1C
ASPN	PLAP-1
ASPRV1	Taps
ASPRV1	SASPase
ASPRV1	FLJ25084
ASPSCR1	ASPS
ASPSCR1	ASPL
ASPSCR1	UBXD9
ASPSCR1	UBXN9
ASPSCR1	TUG
ASRGL1	FLJ22316
ASRGL1	ALP1
ASRGL1	ALP
ASS1	CTLN1
ASS1	ASS
ASTE1	HT001
ASTL	ovastacin
ASTL	SAS1B
ASTN1	ASTN
ASTN2	KIAA0634
ASXL1	KIAA0978
ASXL2	ASXH2
ASXL2	FLJ10898
ASXL2	KIAA1685
ASXL3	KIAA1713
ASZ1	Orf3
ASZ1	GASZ
ASZ1	ALP1
ASZ1	CT1.19
ASZ1	C7orf7
ASZ1	ANKL1
ATAD1	FLJ14600
ATAD1	Msp1
ATAD2	PRO2000
ATAD2	DKFZp667N1320
ATAD2	MGC5254
ATAD2	MGC29843
ATAD2	CT137
ATAD2	ANCCA
ATAD2B	KIAA1240
ATAD3A	FLJ10709
ATAD3B	TOB3
ATAD3B	KIAA1273
ATAD3C	FLJ34599
ATAD5	FLJ12735
ATAD5	FRAG1
ATAD5	ELG1
ATAD5	C17orf41
ATAT1	FLJ13158
ATAT1	Em:AB023049.7
ATAT1	MEC17
ATAT1	C6orf134
ATCAY	BNIP-H
ATF1	TREB36
ATF2	TREB7
ATF2	CRE-BP1
ATF2	HB16
ATF2	CREB2
ATF4	TAXREB67
ATF4	CREB-2
ATF4	TXREB
ATF6	ATF6A
ATF6	ATP6alpha
ATF6B	G13
ATF6B	ATF6beta
ATF6B	CREBL1
ATF7	ATFA
ATF7IP	FLJ10688
ATF7IP	p621
ATF7IP	ATF7IP1
ATF7IP	MCAF1
ATF7IP	MCAF
ATF7IP	AM
ATF7IP2	FLJ12668
ATF7IP2	MCAF2
ATG2A	KIAA0404
ATG2A	BLTP4A
ATG2B	FLJ10242
ATG2B	BLTP4B
ATG2B	C14orf103
LSM14A	DKFZP434D1335
LSM14A	RAP55A
LSM14A	RAP55
LSM14A	C19orf13
LSM14A	FAM61A
LSM14B	FT005
LSM14B	bA11M20.3
LSM14B	FLJ25473
LSM14B	LSM13
LSM14B	RAP55B
LSM14B	C20orf40
LSM14B	FAM61B
LSMEM1	FLJ39575
LSMEM1	C7orf53
LSMEM2	FLJ38608
LSMEM2	C3orf45
LSP1	WP34
LSR	LISCH7
LSR	ILDR3
LSS	OSC
LST1	LST-1
LST1	B144
LST1	D6S49E
LTA	TNFSF1
LTA	LT
LTA	TNFB
LTAP1	NICE-3
LTAP1	DKFZp586G1722
LTAP1	C1orf43
LTB	p33
LTB	TNFSF3
LTB	TNFC
LTB4R	BLTR
LTB4R	P2Y7
LTB4R	LTB4R1
LTB4R	P2RY7
LTB4R	GPR16
LTB4R	CMKRL1
LTB4R2	BLTR2
LTB4R2	BLT2
LTB4R2	JULF2
LTB4R2	NOP9
LTBP2	LTBP3
LTBP2	C14orf141
LTBP3	LTBP2
LTBP4	LTBP-4
LTBP4	LTBP-4L
LTBP4	FLJ46318
LTBP4	FLJ90018
LTBR	TNFCR
LTBR	TNFR-RP
LTBR	TNFR2-RP
LTBR	TNF-R-III
LTBR	TNFRSF3
LTBR	D12S370
LTC4S	MGC33147
LTF	HLF2
LTK	TYK1
LTN1	KIAA0714
LTN1	FLJ11053
LTN1	LISTERIN
LTN1	C21orf98
LTN1	C21orf10
LTN1	ZNF294
LTN1	RNF160
LTO1	TAOS1
LTO1	CIAB1
LTO1	ORAOV1
LTV1	FLJ14909
LTV1	dJ468K18.4
LTV1	C6orf93
LUC7L	LUC7B1
LUC7L	hLuc7B1
LUC7L	Luc7
LUC7L2	CGI-74
LUC7L2	CGI-59
LUC7L2	H_NH0792N18.3
LUC7L2	FLJ10657
LUC7L2	LUC7B2
LUC7L2	hLuc7B2
LUC7L3	LUC7A
LUC7L3	CROP
LUC7L3	OA48-18
LUC7L3	CREAP-1
LUC7L3	FLJ11063
LUC7L3	CRA
LUC7L3	hLuc7A
LUM	SLRR2D
LUM	LDC
LURAP1	FLJ25163
LURAP1	LRAP35a
LURAP1	C1orf190
LURAP1L	MGC46502
LURAP1L	FLJ38505
LURAP1L	bA3L8.2
LURAP1L	LRAP35b
LURAP1L	C9orf150
LUZP1	LUZP
LUZP4	HOM-TES-85
LUZP4	CT-8
LUZP4	CT28
LVRN	APQ
LVRN	FLJ90650
LVRN	AQPEP
LVRN	TAQPEP
LY6D	E48
LY6E	TSA-1
LY6E	RIG-E
LY6E	SCA-2
LY6G5B	G5b
LY6G5B	C6orf19
LY6G5C	G5c
LY6G5C	NG33
LY6G5C	C6orf20
LY6G6C	G6c
LY6G6C	NG24
LY6G6C	C6orf24
LY6G6D	MEGT1
LY6G6D	Ly6-D
LY6G6D	G6D
LY6G6D	LY6-D
LY6G6D	NG25
LY6G6D	C6orf23
LY6G6F	G6f
LY6G6F	NG32
LY6G6F	LY6G6D
LY6G6F	C6orf21
LY6H	NMLY6
LY6K	HSJ001348
LY6K	FLJ35226
LY6K	CT97
LY6S	LY6A
LY9	CD229
LY9	mLY9
LY9	SLAMF3
LY9	hly9
LY75	DEC-205
LY75	CLEC13B
LY75	CD205
LY86	MD-1
LY86	dJ80N2.1
LY96	MD-2
LYAR	ZLYAR
LYG1	SALW1939
LYG1	LYGA1
LYG2	LYGH
LYG2	LYGA2
LYL1	bHLHa18
LYN	JTK8
LYNX1	SLURP2
LYPD1	MGC29643
LYPD1	PHTS
LYPD1	LYPDC1
LYPD2	RGTR430
LYPD2	UNQ430
LYPD2	LYPDC2
LYPD3	C4.4A
LYPD4	MGC42718
LYPD5	FLJ30469
LYPD5	Haldisin
LYPD6	MGC52057
LYPD6B	CT116
LYPD6B	LYPD7
LYPLA1	LPL1
LYPLA1	APT-1
LYPLA1	APT1
LYPLA2	APT-2
LYPLA2	APT2
LYPLAL1	Q96AV0
LYRM1	A211C6.1
LYRM2	DJ122O8.2
LYRM4	CGI-203
LYRM4	ISD11
LYRM4	C6orf149
LYRM7	FLJ20796
LYRM7	MZM1L
LYRM7	C5orf31
LYRM9	HSD24
LYRM9	C17orf108
LYSET	DKFZP564F1123
LYSET	GCAF
LYSET	C14orf109
LYSET	TMEM251
LYSMD1	SB145
LYSMD1	MGC35223
LYSMD1	RP11-68I18.5
LYSMD2	MGC35274
LYSMD3	FLJ13542
LYSMD4	FLJ33008
LYST	CHS
LYST	Mauve
LYST	CHS1
LYVE1	LYVE-1
LYVE1	XLKD1
LYZL1	MGC33408
LYZL1	LYC2
LYZL4	MGC26768
LYZL4	LYC4
LYZL6	LYC1
LYZL6	PRO1485
LYZL6	TKAL754
LZIC	MGC15436
LZTFL1	BBS17
LZTR1	LZTR-1
LZTR1	BTBD29
LZTS1	FEZ1
LZTS2	KIAA1813
LZTS2	LAPSER1
LZTS3	ProSAPiP1
LZTS3	KIAA0552
M1AP	D6Mm5e
M1AP	SPATA37
M1AP	C2orf65
M6PR	CD-MPR
M6PR	CD-M6PR
MAB21L1	CAGR1
MAB21L3	FLJ38716
MAB21L3	D5
MAB21L3	C1orf161
MAB21L4	FLJ22671
MAB21L4	C2orf54
MACC1	7A5
MACC1	SH3BP4L
MACF1	KIAA0465
MACF1	ACF7
MACF1	ABP620
MACF1	KIAA1251
MACF1	MACF
MACF1	FLJ45612
MACF1	FLJ46776
MACF1	Lnc-PMIF
MACF1	KIAA0754
MACIR	FLJ25291
MACIR	C5orf30
MACO1	FLJ10747
MACO1	TMEM57
MACROD1	LRP16
MACROD2	dJ631M13.5
MACROD2	C20orf133
MACROH2A1	macroH2A1.2
MACROH2A1	H2AFY
MACROH2A2	H2AFY2
MAD1L1	HsMAD1
MAD1L1	TXBP181
MAD1L1	MAD1
MAD1L1	PIG9
MAD1L1	TP53I9
MAD2L1	MAD2
MAD2L1	HSMAD2
MAD2L1BP	CMT2
MAD2L1BP	KIAA0110
MAD2L1BP	dJ261G23.1
MAD2L1BP	p31comet
MAD2L2	MAD2B
MAD2L2	REV7
MAD2L2	POLZ2
MAD2L2	FANCV
MADCAM1	MACAM1
MADD	DENN
MADD	KIAA0358
MADD	RAB3GEP
MADD	IG20
MAEA	EMP
MAEA	GID9
MAEA	p44EMLP
MAEA	HLC-10
MAEL	FLJ14904
MAEL	CT128
MAEL	SPATA35
MAF	c-MAF
MAF1	DKFZp586G1123
MAFA	RIPE3b1
MAFA	hMafA
MAFB	KRML
MAFF	hMafF
MAFG	MGC13090
MAFG	MGC20149
MAFK	P18
MAFK	NFE2U
MAG	SIGLEC4A
MAG	SIGLEC-4A
MAG	S-MAG
MAG	SIGLEC4
MAG	GMA
MAGEA1	MGC9326
MAGEA1	CT1.1
MAGEA1	MAGE1
MAGEA2	MAGEA2A
MAGEA2	CT1.2
MAGEA2	MAGE2
MAGEA2B	MAGE2
MAGEA2B	MGC16973
MAGEA2B	MAGEA2
MAGEA3	HYPD
MAGEA3	HIP8
MAGEA3	MGC14613
MAGEA3	CT1.3
MAGEA3	MAGE3
MAGEA4	MAGE4A
MAGEA4	MAGE4B
MAGEA4	MAGE-41
MAGEA4	MAGE-X2
MAGEA4	MGC21336
MAGEA4	CT1.4
MAGEA4	MAGE4
MAGEA6	CT1.6
MAGEA6	MAGE3B
MAGEA6	MAGE-3b
MAGEA6	MAGE6
MAGEA8	MGC2182
MAGEA8	CT1.8
MAGEA8	MAGE8
MAGEA9	MGC8421
MAGEA9	CT1.9
MAGEA9	MAGE9
MAGEA10	MGC10599
MAGEA10	CT1.10
MAGEA10	MAGE10
MAGEA11	MAGE-11
MAGEA11	MAGEA-11
MAGEA11	MGC10511
MAGEA11	CT1.11
MAGEA11	MAGE11
MAGEA12	CT1.12
MAGEA12	MAGE12
MAGEB1	MAGEL1
MAGEB1	MAGE-Xp
MAGEB1	DAM10
MAGEB1	MGC9322
MAGEB1	CT3.1
MAGEB2	DAM6
MAGEB2	MAGE-XP-2
MAGEB2	MGC26438
MAGEB2	CT3.2
MAGEB3	CT3.5
MAGEB4	MGC33144
MAGEB4	CT3.6
MAGEB5	MAGE-B5
MAGEB5	CT3.3
MAGEB6	FLJ40242
MAGEB6	MAGE-B6
MAGEB6	MAGEB6A
MAGEB6	CT3.4
MAGEB6B	MAGEB6P1
MAGEB10	FLJ32965
MAGEB18	MGC33889
MAGEC1	MAGE-C1
MAGEC1	CT7
MAGEC1	MGC39366
MAGEC1	CT7.1
MAGEC2	CT10
MAGEC2	MAGE-C2
MAGEC2	HCA587
MAGEC2	MAGEE1
MAGEC3	HCA2
MAGEC3	MAGE-C3
MAGEC3	CT7.2
MAGED1	NRAGE
MAGED1	DLXIN-1
MAGED2	JCL-1
MAGED2	BCG1
MAGED2	11B6
MAGED2	MAGE-D2
MAGED2	HCA10
MAGED2	MAGED
MAGED2	MGC8386
MAGED4	MAGE1
MAGED4	MGC3210
MAGED4	KIAA1859
MAGED4	MAGE-E1
MAGEE1	KIAA1587
MAGEE1	DAMAGE
MAGEE2	HCA3
MAGEH1	APR1
MAGEL2	nM15
MAGEL2	NDNL1
MAGI1	BAP1
MAGI1	MAGI-1
MAGI1	TNRC19
MAGI1	AIP3
MAGI1	WWP3
MAGI1	BAIAP1
MAGI2	AIP1
MAGI2	ARIP1
MAGI2	KIAA0705
MAGI2	ACVRIP1
MAGI2	MAGI-2
MAGI3	MAGI-3
MAGIX	PDZX
MAGIX	JM10
MAGIX	FLJ21687
MAGOH	MAGOHA
MAGOH	MAGOH1
MAGOHB	FLJ10292
MAGOHB	MGN2
MAGT1	DKFZp564K142
MAGT1	IAP
MAGT1	OST3B
MAGT1	MRX95
MAGT1	SLC58A1
MAIP1	DKFZp666A212
MAIP1	FLJ22555
MAIP1	C2orf47
MAJIN	C11orf85
MAK	dJ417M14.2
MAK	RP62
MAK16	MAK16L
MAK16	RBM13
MAL	MVP17
MAL	VIP17
MALL	BENE
MALRD1	bA265G8.2
MALRD1	Diet1
MALRD1	C10orf112
MALSU1	mtRsfA
MALSU1	C7orf30
MALT1	PCASP1
MALT1	MLT
MAMDC2	MGC21981
MAMDC4	AEGP
MAMDC4	DKFZp434M1411
MAMDC4	EDTB
MAML1	KIAA0200
MAML1	Mam-1
MAML2	KIAA1819
MAML2	MAM3
MAML3	KIAA1816
MAML3	MAM2
MAML3	CAGH3
MAML3	GDN
MAML3	TNRC3
MAMLD1	CG1
MAMLD1	F18
MAMLD1	CXorf6
MAMSTR	MASTR
MAMSTR	FLJ36070
MAN1A2	MAN1B
MAN1B1	MANA-ER
MAN1B1	MRT15
MAN1B1	ERManI
MAN1B1	ERMan1
MAN1C1	HMIC
MAN2A1	GOLIM7
MAN2A1	MANII
MAN2A1	MANA2
MAN2A2	MANA2X
MAN2A2	HsT19662
MAN2A2	alpha-MIIx
MAN2B1	LAMAN
MAN2B1	MANB
MAN2B2	KIAA0935
MAN2B2	EpMAN
MAN2C1	MANA1
MAN2C1	MANA
MANBAL	dJ1141E15.2
MANEA	FLJ12838
MANEA	mandaselin
MANEAL	FLJ31434
MANF	ARP
MANF	ARMET
MANSC1	FLJ10298
MANSC1	LOH12CR3
MAP1A	MAP1L
MAP1B	MAP5
MAP1B	PPP1R102
MAP1LC3A	MAP1BLC3
MAP1LC3A	MAP1ALC3
MAP1LC3A	LC3
MAP1LC3A	LC3A
MAP1LC3A	ATG8E
MAP1LC3B	ATG8F
MAP1LC3B2	ATG8G
MAP1LC3C	ATG8J
MAP1S	FLJ10669
MAP1S	MAP8
MAP1S	C19orf5
MAP1S	VCY2IP1
MAP1S	BPY2IP1
MAP2	MAP2A
MAP2	MAP2B
MAP2	MAP2C
MAP2K1	MEK1
MAP2K1	MAPKK1
MAP2K1	MKK1
MAP2K1	PRKMK1
MAP2K2	MEK2
MAP2K2	MKK2
MAP2K2	PRKMK2
MAP2K3	MEK3
MAP2K3	MKK3
MAP2K3	MAPKK3
MAP2K3	SAPKK2
MAP2K3	PRKMK3
MAP2K4	MEK4
MAP2K4	JNKK1
MAP2K4	PRKMK4
MAP2K4	MKK4
MAP2K4	MAPKK4
MAP2K4	SAPKK1
MAP2K4	SKK1
MAP2K4	JNKK
MAP2K4	SEK1
MAP2K4	SERK1
MAP2K5	MEK5
MAP2K5	MAPKK5
MAP2K5	HsT17454
MAP2K5	PRKMK5
MAP2K6	MEK6
MAP2K6	MKK6
MAP2K6	SAPKK3
MAP2K6	MAPKK6
MAP2K6	CRCMSL
MAP2K6	PRKMK6
MAP2K7	MKK7
MAP2K7	Jnkk2
MAP2K7	SAPKK4
MAP2K7	PRKMK7
MAP3K1	MEKK
MAP3K1	MAPKKK1
MAP3K1	MEKK1
MAP3K2	MEKK2B
MAP3K2	MEKK2
MAP3K3	MAPKKK3
MAP3K3	MEKK3
MAP3K4	MTK1
MAP3K4	MAPKKK4
MAP3K4	KIAA0213
MAP3K4	MEKK4
MAP3K5	MAPKKK5
MAP3K5	ASK1
MAP3K5	MEKK5
MAP3K6	MAPKKK6
MAP3K6	ASK2
MAP3K6	MEKK6
MAP3K7	MEKK7
MAP3K7	TAK1
MAP3K7CL	TAKL
MAP3K7CL	TAK1L
MAP3K7CL	TAKL-1
MAP3K7CL	TAKL-2
MAP3K7CL	TAKL-4
MAP3K7CL	C21orf7
MAP3K8	Tpl-2
MAP3K8	EST
MAP3K8	c-COT
MAP3K8	MEKK8
MAP3K8	COT
MAP3K8	ESTF
MAP3K9	PRKE1
MAP3K9	MEKK9
MAP3K9	MLK1
MAP3K10	MST
MAP3K10	MEKK10
MAP3K10	MLK2
MAP3K11	SPRK
MAP3K11	MEKK11
MAP3K11	MLK3
MAP3K11	PTK1
MAP3K12	MUK
MAP3K12	DLK
MAP3K12	ZPKP1
MAP3K12	MEKK12
MAP3K12	ZPK
MAP3K13	LZK
MAP3K13	MEKK13
MAP3K14	NIK
MAP3K14	HSNIK
MAP3K14	FTDCR1B
MAP3K14	HS
MAP3K15	bA723P2.3
MAP3K15	FLJ16518
MAP3K15	ASK3
MAP3K19	FLJ23074
MAP3K19	RCK
MAP3K19	YSK4
MAP3K20	MLTKalpha
MAP3K20	MLTKbeta
MAP3K20	ZAK
MAP3K20	MLTK
MAP3K20	MLK7
MAP3K20	MRK
MAP3K21	KIAA1804
MAP3K21	MLK4
MAP4K1	HPK1
MAP4K2	GCK
MAP4K2	BL44
MAP4K2	RAB8IP
MAP4K3	GLK
MAP4K3	MAPKKKK3
MAP4K3	RAB8IPL1
MAP4K4	HGK
MAP4K4	NIK
